date,on_call_stocks,on_call_other,indorsed_60,indorsed_4_6_mon,single_names,other_good,not_well_known,issue,url
12/17/1859,5.5@6,6@7,7@7.5,7.5@8.5,7.5@8,9@10,12@18,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
1/1/1860,6@6.5,6.5@7,7@7.5,7.5@8.5,9@10,9@10,12@18,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
1/15/1860,7@7.5,7@7.5,8.5@9,9@9.5,9@10,10@11,15@20,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
2/1/1860,6@6.5,7@7.5,8.5@9,9@9.5,8.5@9.5,11@12,15@20,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
2/15/1860,5@6,6@7,7@7.5,7.5@8,8.5@9.5,10@12,15@15,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
3/1/1860,5.5@6,6@7,7@7.25,7.5@8,8.5@9.5,10@12,15@15,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
3/15/1860,5@5.5,5.5@6,6@7,7.5@8,5.5@7.5,10@12,15@15,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
4/1/1860,5@5.5,6@6.5,5.5@6,6@6.5,6.5@7.5,9@10,11@13,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
4/15/1860,5@5.5,6@6.5,5.5@6,6@6.5,6.5@7.5,9@10,11@13,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
5/1/1860,5@5.25,6@6.5,5@6,6@6.5,6.5@7.5,9@10,11@12,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
5/15/1860,5@6,6@6.5,5@6,6@7,6.5@7.5,9@10,10@12,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
6/1/1860,4.75 @7,6@6.5,5@6,6@7,6.5@7.5,8@9,9@10,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
6/15/1860,4.25@5,5@6,4.5@5,5@5.5,5.5@6,6@7.5,8@9,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
7/1/1860,5@5.5,5.5@6,. @ 5,5@6,5.5@6,7@7.5,8@9,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
7/15/1860,5@5.5,5.5@6,. @ 5,5@6,5.5@6,7@7.625,8@9,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
8/1/1860,5@6,6@7,5@6,6@6.5,6.5@7,7.5@8.5,9@10,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
8/15/1860,5.5@6,6@7,6@6.5,6@7,6.5@7.5,8@9,9@10,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
9/1/1860,6@7,7@9,6.5@7,6@9,8@9,9@12,12@24,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
9/15/1860,6@7,6.5@7,7@7.5,7.5@8,6.125@7.5,9@9.5,10@10.5,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
10/1/1860,6.5@7,7@8,6.5@7,6.5@7.5,8@8.5,9@10,12@20,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
10/15/1860,6.5@7,7@8,6.5@7,6.5@7.5,8@8.5,9@10,12@20,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
11/1/1860,6.5@7,7@8,6.5@7,7@7.5,8@9,10@12,12@15,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
11/15/1860,7@8,7@9,8@9,9@10,9@12,14@15,15@24,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
12/1/1860,7@9,9@10,10@12,12@15,15@18,24@36,,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
12/15/1860,6@7,9@11,12@15,15@18,20@.,,,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
1/1/1861,5.5@6.5,8@10,10@12,13@15,18@.,,,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
1/15/1861,5@6,6@7,7@8,8@9,8@10,12@16,18@24,Feb 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA198
2/1/1861,5@6,6@7,7@8,8@9,8@10,12@15,18@24,May 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA667
2/15/1861,5@6,.@7,7.5@8,8@9,8@10,12@15,18@24,May 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA667
3/1/1861,5.5@6.5,6.5@7,7.5@8,8@9,9@11,12@15,18@24,May 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA667
3/15/1861,5@6,6@7,5.5@6,6.5@7,7@8,12@15,18@36,May 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA667
4/1/1861,5@5.5,6@6.5,5.5@6,6.5@7,6.5@7,8@9,18@24,May 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA667
4/15/1861,4.5@5.5,6@6.5,5.5@6,6.5@7,6.5@7,8@9,18@24,May 1861,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA667
10/1/1861,6@7,6@7,6.5@7,8@12,,12@15,24@36,Mar 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA311
11/1/1861,6@7,6@7,5.5@7,8@10,,10@12,18@24,Mar 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA311
12/1/1861,6@7,.@7,.@7,8@9,,12@15,,Mar 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA311
1/1/1862,6@7,7@.,5.5@7,8@9,,10@12,12@24,Mar 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA311
2/1/1862,6@7,7@.,5.5@7,6@7,,8@12,,Mar 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA311
2/15/1862,5@6,6@7,5@7,6@7,,7@9,,Mar 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA311
3/1/1862,5@6,7@.,6@7,8@9,,7@.,,May 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506
3/15/1862,5@6,7@.,6@7,8@9,,,,May 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506
3/22/1862,5@6,7@.,6@7,8@9,,7@.,,May 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506
3/29/1862,5@6,7@.,6@7,8@9,,7@.,,May 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506
4/5/1862,5@6,7@.,6@7,8@9,,7@.,,May 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506
4/12/1862,5@6,7@.,6@7,8@9,,7@.,,May 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506
4/19/1862,5@6,7@.,6@7,8@9,,7@.,,May 1862,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA506
4/26/1862,5@6,7@.,6@7,8@9,,7@.,,Jul 1862,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34
5/2/1862,5@.,7@.,6@7,8@9,,7@.,,Jul 1862,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34
5/10/1862,4@5,7@.,5@6,7@8,,7@.,,Jul 1862,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34
5/17/1862,4@5,7@.,5@6,7@8,,,,Jul 1862,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34
5/24/1862,4@5,6@.,4@5,6@7,,6@7,,Jul 1862,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34
5/31/1862,4@5,6@.,4@5,6@7,,6@7,,Jul 1862,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34
6/7/1862,4@5,6@.,4@5,6@7,,6@7,,Jul 1862,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34
6/14/1862,3@5,6@.,4@5,6@7,,6@7,,Jul 1862,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34
