date,strdate,url,issue,
1/1/1860,January 1,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=79%2C845%2C795%2C51&edge=0,Jul 1860,
1/15/1860,January 15,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=79%2C845%2C795%2C51&edge=0,Jul 1860,
2/1/1860,February 1,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=79%2C888%2C795%2C50&edge=0,Jul 1860,
2/15/1860,February 15,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=79%2C888%2C795%2C50&edge=0,Jul 1860,
3/1/1860,March 1,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=72%2C925%2C806%2C53&edge=0,Jul 1860,
3/15/1860,March 15,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=72%2C925%2C806%2C53&edge=0,Jul 1860,
4/1/1860,April 1,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=70%2C966%2C802%2C59&edge=0,Jul 1860,
4/15/1860,April 15,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=70%2C966%2C802%2C59&edge=0,Jul 1860,
5/1/1860,May 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=79%2C142%2C796%2C55&edge=0,Jan 1861,
5/15/1860,May 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=79%2C142%2C796%2C55&edge=0,Jan 1861,
6/1/1860,June 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=81%2C182%2C785%2C50&edge=0,Jan 1861,
6/15/1860,June 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=81%2C182%2C785%2C50&edge=0,Jan 1861,
7/1/1860,July 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=82%2C225%2C787%2C50&edge=0,Jan 1861,
7/15/1860,July 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=82%2C225%2C787%2C50&edge=0,Jan 1861,
8/1/1860,August 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=82%2C269%2C794%2C50&edge=0,Jan 1861,
