"series","date","issue","url","volume","value","is_clean"
"north_carolina_6pct","1855-09-21","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,99,0
"ohio_6pct_1874","1855-09-21","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,114,0
"pennsylvania_6pct","1855-09-21","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,85.75,0
"US_6pct_1868","1855-09-21","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,117.75,0
"virginia_6pct","1855-09-21","1855-09-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA334",10,98.25,0
"california_7pct_1870","1855-09-28","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,87.25,0
"georgia_6pct","1855-09-28","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,99,0
"indiana_5pct","1855-09-28","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,82,0
"kentucky_6pct","1855-09-28","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,101,0
"louisiana_6pct","1855-09-28","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,92,0
"missouri_6pct","1855-09-28","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,91.75,0
"north_carolina_6pct","1855-09-28","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,99,0
"ohio_6pct_1874","1855-09-28","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,114,0
"pennsylvania_6pct","1855-09-28","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,85.25,0
"US_6pct_1868","1855-09-28","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,118,0
"virginia_6pct","1855-09-28","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,97.25,0
"california_7pct_1870","1855-10-05","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,86,0
"georgia_6pct","1855-10-05","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,99,0
"indiana_5pct","1855-10-05","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,82,0
"kentucky_6pct","1855-10-05","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,101,0
"louisiana_6pct","1855-10-05","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,92,0
"missouri_6pct","1855-10-05","1855-10-26","http://books.google.com/books?id=I1gmAQAAIAAJ&pg=PA414",10,91,0
