"bidder_num","price","amount","accepted","auction","coupon_yield","yield","ytm"
29,91.83,15,15,"1861-02-13; Loan of Feb 1861",0.0653381247958184,0.0672083105762765,
29,92.01,15,15,"1861-02-13; Loan of Feb 1861",0.06521030322791,0.0670359881015648,
30,90,10,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
30,90.5,10,10,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
30,91,20,20,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
30,91.5,10,10,"1861-02-13; Loan of Feb 1861",0.0655737704918033,0.0675254653203907,
31,90.5,100,100,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
31,91,100,100,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
32,90.75,5,5,"1861-02-13; Loan of Feb 1861",0.0661157024793388,0.0682522653231644,
33,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
33,91,50,50,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
34,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
34,91,50,50,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
35,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
35,91,50,50,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
36,90.41,10,10,"1861-02-13; Loan of Feb 1861",0.0663643402278509,0.0685845285753347,
36,90.51,10,10,"1861-02-13; Loan of Feb 1861",0.0662910175671197,0.0684866222687803,
36,90.76,10,10,"1861-02-13; Loan of Feb 1861",0.0661084178052005,0.0682425193251294,
36,90.91,10,10,"1861-02-13; Loan of Feb 1861",0.0659993400065999,0.0680965098427643,
36,91.02,10,10,"1861-02-13; Loan of Feb 1861",0.0659195781147001,0.0679896507367913,
37,90.01,5,0,"1861-02-13; Loan of Feb 1861",0.0666592600822131,0.0689776800438676,
37,90.51,5,5,"1861-02-13; Loan of Feb 1861",0.0662910175671197,0.0684866222687803,
37,90.52,5,5,"1861-02-13; Loan of Feb 1861",0.066283694211224,0.0684768399903958,
37,90.53,5,5,"1861-02-13; Loan of Feb 1861",0.0662763724732133,0.0684670592288161,
37,90.64,5,5,"1861-02-13; Loan of Feb 1861",0.0661959399823478,0.0683595708328854,
37,90.76,5,5,"1861-02-13; Loan of Feb 1861",0.0661084178052005,0.0682425193251294,
37,90.78,5,5,"1861-02-13; Loan of Feb 1861",0.0660938532716457,0.0682230318470077,
37,90.89,5,5,"1861-02-13; Loan of Feb 1861",0.0660138629112113,0.068115958247639,
37,91.01,5,5,"1861-02-13; Loan of Feb 1861",0.0659268212284364,0.0679993577187837,
37,91.02,5,5,"1861-02-13; Loan of Feb 1861",0.0659195781147001,0.0679896507367913,
37,91.26,5,5,"1861-02-13; Loan of Feb 1861",0.0657462195923734,0.0677571305693486,
38,90.6,40,40,"1861-02-13; Loan of Feb 1861",0.0662251655629139,0.06839863633078,
39,90.53,100,100,"1861-02-13; Loan of Feb 1861",0.0662763724732133,0.0684670592288161,
40,90.5,5,5,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
41,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
42,90,1,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
42,91,1,1,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
43,90.5,2,2,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
44,90.5,50,50,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
45,90.5,10,10,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
46,90.5,100,100,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
47,90.5,5,5,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
48,90.25,1,1,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0687414953735844,
48,90.35,1,1,"1861-02-13; Loan of Feb 1861",0.0664084117321527,0.0686433453737488,
48,90.45,1,1,"1861-02-13; Loan of Feb 1861",0.066334991708126,0.0685453478170371,
48,90.55,1,1,"1861-02-13; Loan of Feb 1861",0.0662617338487024,0.068447502254284,
48,90.65,1,1,"1861-02-13; Loan of Feb 1861",0.066188637617209,0.0683498082381602,
49,90.27,200,200,"1861-02-13; Loan of Feb 1861",0.0664672648720505,0.0687218531565455,
49,90.55,100,100,"1861-02-13; Loan of Feb 1861",0.0662617338487024,0.068447502254284,
49,90.6,100,100,"1861-02-13; Loan of Feb 1861",0.0662251655629139,0.06839863633078,
50,90.4,3,3,"1861-02-13; Loan of Feb 1861",0.0663716814159292,0.0685943275681184,
51,90,15,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
51,91,10,10,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
52,86.55,1,0,"1861-02-13; Loan of Feb 1861",0.0693240901213172,0.0724844924189595,
52,87.55,1,0,"1861-02-13; Loan of Feb 1861",0.0685322672758424,0.0714508619697031,
52,88.55,2,0,"1861-02-13; Loan of Feb 1861",0.0677583286278938,0.0704338134879975,
52,89.55,3,0,"1861-02-13; Loan of Feb 1861",0.0670016750418761,0.0694328518995087,
52,90.55,3,3,"1861-02-13; Loan of Feb 1861",0.0662617338487024,0.068447502254284,
52,91.55,2,2,"1861-02-13; Loan of Feb 1861",0.0655379574003277,0.0674773087799831,
52,92.55,1,1,"1861-02-13; Loan of Feb 1861",0.0648298217179903,0.0665218339894624,
52,93.55,1,1,"1861-02-13; Loan of Feb 1861",0.0641368252271513,0.0655806578378984,
52,94.55,1,1,"1861-02-13; Loan of Feb 1861",0.0634584875727129,0.064653376925242,
53,87,18,0,"1861-02-13; Loan of Feb 1861",0.0689655172413793,0.0720172741955362,
53,88,15,0,"1861-02-13; Loan of Feb 1861",0.0681818181818182,0.0709911682241098,
53,88.01,10,0,"1861-02-13; Loan of Feb 1861",0.0681740711282809,0.0709809905919303,
53,89.02,10,0,"1861-02-13; Loan of Feb 1861",0.0674005841383959,0.0699613873634,
53,90,2,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
53,90.01,20,0,"1861-02-13; Loan of Feb 1861",0.0666592600822131,0.0689776800438676,
53,90.17,50,50,"1861-02-13; Loan of Feb 1861",0.0665409781523788,0.0688201254355191,
53,90.25,20,20,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0687414953735844,
53,90.5,100,100,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
53,90.6,15,15,"1861-02-13; Loan of Feb 1861",0.0662251655629139,0.06839863633078,
53,90.8,20,20,"1861-02-13; Loan of Feb 1861",0.066079295154185,0.068203550389868,
53,91,170,170,"1861-02-13; Loan of Feb 1861",0.0659340659340659,0.0680090661958978,
54,90.3,100,100,"1861-02-13; Loan of Feb 1861",0.0664451827242525,0.0686924012901313,
55,90.18,10,10,"1861-02-13; Loan of Feb 1861",0.0665335994677312,0.0688102913185699,
55,90.25,10,10,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0687414953735844,
55,90.5,5,5,"1861-02-13; Loan of Feb 1861",0.0662983425414365,0.0684964060644168,
56,90.27,100,100,"1861-02-13; Loan of Feb 1861",0.0664672648720505,0.0687218531565455,
57,90.26,50,50,"1861-02-13; Loan of Feb 1861",0.0664746288499889,0.0687316735008209,
58,90.11,30,0,"1861-02-13; Loan of Feb 1861",0.0665852846520919,0.0688791623368795,
58,90.21,40,40,"1861-02-13; Loan of Feb 1861",0.066511473229132,0.0687807981585575,
58,90.31,40,40,"1861-02-13; Loan of Feb 1861",0.0664378252685195,0.0686825870552929,
58,90.36,40,40,"1861-02-13; Loan of Feb 1861",0.0664010624169987,0.0686335387655627,
59,90.25,50,50,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0687414953735844,
60,90.25,10,10,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0687414953735844,
61,90.25,10,10,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0687414953735844,
62,90.25,5,5,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0687414953735844,
63,90.25,10,10,"1861-02-13; Loan of Feb 1861",0.0664819944598338,0.0687414953735844,
64,90.2,30,30,"1861-02-13; Loan of Feb 1861",0.0665188470066519,0.0687906276805422,
65,90.17,10,10,"1861-02-13; Loan of Feb 1861",0.0665409781523788,0.0688201254355191,
66,90.15,1345,1314,"1861-02-13; Loan of Feb 1861",0.0665557404326123,0.0688397982675546,
67,90.15,100,100,"1861-02-13; Loan of Feb 1861",0.0665557404326123,0.0688397982675546,
68,90,50,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
68,90.15,2814,2749,"1861-02-13; Loan of Feb 1861",0.0665557404326123,0.0688397982675546,
69,90,25,0,"1861-02-13; Loan of Feb 1861",0.0666666666666667,0.0689875402761626,
69,90.15,125,122,"1861-02-13; Loan of Feb 1861",0.0665557404326123,0.0688397982675546,
70,90.1,50,0,"1861-02-13; Loan of Feb 1861",0.0665926748057714,0.0688890071912877,
71,90.1,10,0,"1861-02-13; Loan of Feb 1861",0.0665926748057714,0.0688890071912877,
72,90.1,3,0,"1861-02-13; Loan of Feb 1861",0.0665926748057714,0.0688890071912877,
