year,month,price,notes
1859,2,9.5,
1859,3,9.375,
1859,4,9.75,
1859,5,10.125,
1859,6,10,
1859,7,10.25,
1859,8,10.375,
1859,9,9.875,
1859,10,10.125,
1859,11,10,
1859,12,9.875,
1860,1,9.75,
1860,2,8.75,
1860,3,9,
1860,4,9,
1860,5,9.375,
1860,6,9.625,
1860,7,9.875,
1860,8,10,
1860,9,9.875,
1860,10,9.5,
1860,11,8.325,
1860,12,4,
1861,1,8.5,
1861,2,6,
1861,3,5.5,
1861,4,8.5,
1861,5,5,
1861,6,5.75,
1861,7,6.25,
1861,8,7.5,
1861,9,7.25,
1861,10,7.25,
1861,11,7.25,
1861,12,9,
