"bond","date","issue","url","value","notes"
"seven_thirties","1862-03-19","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",100,
"sixes_1881_coup","1862-03-19","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",94,
"sixes_1881_reg","1862-03-19","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",94,
"aug_demand","1862-03-26","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",,
"fives_1874","1862-03-26","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",87.625,
"gold","1862-03-26","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",101.25,
"oneyr_old","1862-03-26","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",97,
"seven_thirties","1862-03-26","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",100,
"sixes_1881_coup","1862-03-26","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",94.75,
"sixes_1881_reg","1862-03-26","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",94.5,
"aug_demand","1862-04-01","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",,
"fives_1874","1862-04-01","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",87,
"gold","1862-04-01","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",102.5,
"oneyr_old","1862-04-01","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",96.75,
"seven_thirties","1862-04-01","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",99.75,
"sixes_1881_coup","1862-04-01","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",93,
"sixes_1881_reg","1862-04-01","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",93,
"aug_demand","1862-04-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",0,
"fives_1874","1862-04-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",87,
"gold","1862-04-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",101.75,
"oneyr_old","1862-04-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",97,
"seven_thirties","1862-04-07","July 1862","http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA34&img=1&zoom=3&hl=en&sig=ACfU3U0Wmg_IjpSyn4KKO3uJ-XP7KarzCg&ci=104%2C197%2C818%2C400&edge=0",100,
