year,population,valuation,pop_increase,valuation_increase,amount_per_person,increase_pct_per_capita
1810,7239814,1882000000,,,260,
1820,9638131,1882000000,33.13,,195,
1830,12866020,3764000000,33.49,100,292,25.08
1840,17069453,3764000000,32.67,,220,
1850,23101876,6174349828,35.87,64,266,20.09
1860,31429891,14126523646,35.52,128.8,449,68.08
