"series","date","price","price_clean","price_orig","gold_rate","accrued_interest","current_yield1","current_yield2","ytm1","duration1","convexity1","maturity1","ytm2","duration2","convexity2","maturity2","ytm3","duration3","convexity3","maturity3","ytm4","duration4","convexity4","maturity4","ytm5","duration5","convexity5","maturity5","govt_rate","ytm6","duration6","convexity6","maturity6","registered"
"10-40's","1865-01-07",44.946172398548,43.3474278420479,44.946172398548,2.2693812299642,1.59874455650004,,,,,,,,,,,,,,,,,,,,,,,0.0236237974930682,,,,,0
"10-40's","1865-01-14",46.9722281962887,45.2723843336896,46.9722281962887,2.19012390832522,1.69984386259909,,,,,,,,,,,,,,,,,,,,,,,0.021131981614949,,,,,0
"10-40's","1865-01-21",49.5249820680811,47.724038899383,49.5249820680811,2.04442274932707,1.80094316869813,,,,,,,,,,,,,,,,,,,,,,,0.027768767345661,,,,,0
"10-40's","1865-01-28",46.3393388684816,44.4372963936844,46.3393388684816,2.17687611569728,1.90204247479718,,,,,,,,,,,,,,,,,,,,,,,0.0295087371632577,,,,,0
"10-40's","1865-02-04",47.8623968316334,45.8592550507372,47.8623968316334,2.11543939924633,2.00314178089622,,,,,,,,,,,,,,,,,,,,,,,0.0304900864967683,,,,,0
"10-40's","1865-02-11",49.6108241145519,47.5065830275567,49.6108241145519,2.07112060389784,2.10424108699526,,,,,,,,,,,,,,,,,,,,,,,0.0263552690476547,,,,,0
"10-40's","1865-02-18",50.0907988876825,49.886530486328,50.0907988876825,2.04877946207474,0.204268401354482,,,,,,,,,,,,,,,,,,,,,,,0.0245647153783693,,,,,0
"10-40's","1865-02-25",51.4904462570485,51.1838164227944,51.4904462570485,1.99066054872206,0.306629834254144,,,,,,,,,,,,,,,,,,,,,,,0.0255191706178989,,,,,0
"10-40's","1865-03-01",51.3078603791612,50.9427382975358,51.3078603791612,2.00261712807132,0.365122081625379,,,,,,,,,,,,,,,,,,,,,,,0.0264122856567108,,,,,0
"10-40's","1865-03-08",49.5542874837268,49.0868039692018,49.5542874837268,1.97006162245919,0.46748351452504,,,,,,,,,,,,,,,,,,,,,,,0.0253906326331416,,,,,0
"10-40's","1865-03-15",54.7926444125487,54.222799465124,54.7926444125487,1.77031061449892,0.569844947424702,,,,,,,,,,,,,,,,,,,,,,,0.0292021626624676,,,,,0
"10-40's","1865-03-22",58.1414572940428,57.4692509137184,58.1414572940428,1.57374796330355,0.672206380324363,,,,,,,,,,,,,,,,,,,,,,,0.0461776758154673,,,,,0
"10-40's","1865-03-29",60.1780780799163,59.4035102666923,60.1780780799163,1.52048724252191,0.774567813224024,,,,,,,,,,,,,,,,,,,,,,,0.0464991595921113,,,,,0
"10-40's","1865-04-05",61.0129357785707,60.136006532447,61.0129357785707,1.50787695799278,0.876929246123686,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"10-40's","1865-04-12",64.2341999010457,63.2549092220223,64.2341999010457,1.45561087620051,0.979290679023346,,,,,,,,,,,,,,,,,,,,,,,0.0384839865315077,,,,,0
"10-40's","1865-04-26",64.1356011973849,62.9515876525622,64.1356011973849,1.51242053070448,1.18401354482267,,,,,,,,,,,,,,,,,,,,,,,0.0342861992880397,,,,,0
"10-40's","1865-05-03",68.5206242353351,67.2342492576128,68.5206242353351,1.41563217034994,1.28637497772233,,,,,,,,,,,,,,,,,,,,,,,0.0306667866479052,,,,,0
"10-40's","1865-05-10",72.3255210469306,70.9367846363086,72.3255210469306,1.33424548628392,1.38873641062199,,,,,,,,,,,,,,,,,,,,,,,0.0308882011127026,,,,,0
"10-40's","1865-05-17",72.9357115821872,71.4446137386656,72.9357115821872,1.30251694182691,1.49109784352166,,,,,,,,,,,,,,,,,,,,,,,0.0345977280907204,,,,,0
"10-40's","1865-05-24",71.0619418852313,69.46848260881,71.0619418852313,1.33686186275953,1.59345927642131,,,,,,,,,,,,,,,,,,,,,,,0.0330920371735948,,,,,0
"10-40's","1865-05-31",69.220456051263,67.524635341942,69.220456051263,1.37062084551621,1.69582070932098,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
