"date","price"
1861-01-01,1.05125088494614
1861-01-02,1.05095996815893
1861-01-03,1.05066913185037
1861-01-04,1.05037837602608
1861-01-05,1.0500877006638
1861-01-06,1.04979710574127
1861-01-07,1.04950659123622
1861-01-08,1.04921615712639
1861-01-09,1.04892580338954
1861-01-10,1.04863553000342
1861-01-11,1.04834533694583
1861-01-12,1.04805522419447
1861-01-13,1.04776519172726
1861-01-14,1.04747523952184
1861-01-15,1.04718536755608
1861-01-16,1.04689445623951
1861-01-17,1.04660362573906
1861-01-18,1.04631287603221
1861-01-19,1.04602220709653
1861-01-20,1.04573161890958
1861-01-21,1.04544111144891
1861-01-22,1.04515068469212
1861-01-23,1.04486033861676
1861-01-24,1.04457007320045
1861-01-25,1.04427988842075
1861-01-26,1.04398978425528
1861-01-27,1.04369976068164
1861-01-28,1.04340981767744
1861-01-29,1.0431199552203
1861-01-30,1.04283017328784
1861-01-31,1.0425404718577
1861-02-01,1.0422508509075
1861-02-02,1.04195823534173
1861-02-03,1.0416657019288
1861-02-04,1.04137325064565
1861-02-05,1.04108088146921
1861-02-06,1.04078859437645
1861-02-07,1.04049638934431
1861-02-08,1.04020426634974
1861-02-09,1.03991222536973
1861-02-10,1.03962026638125
1861-02-11,1.03932838936127
1861-02-12,1.03903659428679
1861-02-13,1.03874488113479
1861-02-14,1.03845324988227
1861-02-15,1.03816170050625
1861-02-16,1.03786554448097
1861-02-17,1.03756947294001
1861-02-18,1.03727348585928
1861-02-19,1.03697758321468
1861-02-20,1.03668176498212
1861-02-21,1.03638603113753
1861-02-22,1.03609038165683
1861-02-23,1.03579481651595
1861-02-24,1.03549933569084
1861-02-25,1.03520393915743
1861-02-26,1.0349086268917
1861-02-27,1.03461339886959
1861-02-28,1.03431825506707
1861-03-01,1.03402319546012
1861-03-02,1.03372190517269
1861-03-03,1.03342070267423
1861-03-04,1.03311958793916
1861-03-05,1.03281856094192
1861-03-06,1.03251762165694
1861-03-07,1.03221677005866
1861-03-08,1.03191600612153
1861-03-09,1.03161532982002
1861-03-10,1.03131474112857
1861-03-11,1.03101424002168
1861-03-12,1.03071382647381
1861-03-13,1.03041350045945
1861-03-14,1.03011326195311
1861-03-15,1.02981311092927
1861-03-16,1.0295050848312
1861-03-17,1.02919715086642
1861-03-18,1.02888930900738
1861-03-19,1.02858155922653
1861-03-20,1.02827390149632
1861-03-21,1.02796633578924
1861-03-22,1.02765886207774
1861-03-23,1.02735148033431
1861-03-24,1.02704419053145
1861-03-25,1.02673699264166
1861-03-26,1.02642988663743
1861-03-27,1.0261228724913
1861-03-28,1.02581595017578
1861-03-29,1.0255091196634
1861-03-30,1.02520238092671
1861-03-31,1.02489573393826
1861-04-01,1.0245891786706
1861-04-02,1.02427271766817
1861-04-03,1.02395635440986
1861-04-04,1.02364008886548
1861-04-05,1.02332392100485
1861-04-06,1.02300785079779
1861-04-07,1.02269187821415
1861-04-08,1.02237600322377
1861-04-09,1.02206022579652
1861-04-10,1.02174454590224
1861-04-11,1.02142896351083
1861-04-12,1.02111347859216
1861-04-13,1.02079809111613
1861-04-14,1.02048280105264
1861-04-15,1.02016760837161
1861-04-16,1.01984080161756
1861-04-17,1.01951409955478
1861-04-18,1.01918750214975
1861-04-19,1.01886100936894
1861-04-20,1.01853462117883
1861-04-21,1.01820833754592
1861-04-22,1.0178821584367
1861-04-23,1.01755608381771
1861-04-24,1.01723011365546
1861-04-25,1.01690424791649
1861-04-26,1.01657848656736
1861-04-27,1.01625282957461
1861-04-28,1.01592727690483
1861-04-29,1.01560182852459
1861-04-30,1.01527648440047
1861-05-01,1.0149512444991
1861-05-02,1.01460298269672
1861-05-03,1.01425484039395
1861-05-04,1.01390681754979
1861-05-05,1.01355891412326
1861-05-06,1.01321113007337
1861-05-07,1.01286346535917
1861-05-08,1.0125159199397
1861-05-09,1.01216849377403
1861-05-10,1.01182118682124
1861-05-11,1.01147399904043
1861-05-12,1.0111269303907
1861-05-13,1.01077998083118
1861-05-14,1.010433150321
1861-05-15,1.01008643881932
1861-05-16,1.00970554168358
1861-05-17,1.0093247881817
1861-05-18,1.00894417825954
1861-05-19,1.00856371186295
1861-05-20,1.0081833889378
1861-05-21,1.00780320942999
1861-05-22,1.00742317328545
1861-05-23,1.0070432804501
1861-05-24,1.00666353086991
1861-05-25,1.00628392449086
1861-05-26,1.00590446125895
1861-05-27,1.0055251411202
1861-05-28,1.00514596402064
1861-05-29,1.00476692990634
1861-05-30,1.00438803872339
1861-05-31,1.00400929041787
1861-06-01,1.0035869704082
1861-06-02,1.00312816687685
1861-06-03,1.00266957309383
1861-06-04,1.00221118896323
1861-06-05,1.00175301438922
1861-06-06,1.00129504927599
1861-06-07,1.00083729352779
1861-06-08,1.00034209420639
1861-06-09,0.999847139902218
1861-06-10,0.999352430494026
1861-06-11,0.99885796586065
1861-06-12,0.998363745880977
1861-06-13,0.997869770433957
1861-06-14,0.997376039398599
1861-06-15,0.996836499455428
1861-06-16,0.996258162346174
1861-06-17,0.995680160772199
1861-06-18,0.995102494538833
1861-06-19,0.994525163451521
1861-06-20,0.993948167315821
1861-06-21,0.993371505937404
1861-06-22,0.992754850250251
1861-06-23,0.992138577364732
1861-06-24,0.991522687043217
1861-06-25,0.99090717904822
1861-06-26,0.990292053142405
1861-06-27,0.989677309088581
1861-06-28,0.989062946649707
1861-06-29,0.988407101548246
1861-06-30,0.987751691335988
1861-07-01,0.98709671572456
1861-07-02,0.986399613341123
1861-07-03,0.985703003261757
1861-07-04,0.985006885138792
1861-07-05,0.984311258624799
