"date","series","gold_rate","bond","wgt","price","price_clean","accrued_interest","current_yield","ytm","duration","convexity","maturity","registered"
1865-08-12,"10-40's",1.41443824959074,"us_ten_forty_1904",0.032258064516129,68.6668364830369,66.4385756134717,2.22826086956522,0.0752574833796731,0.0759447248022485,13.006210869865,303.570611182196,38.5753424657534,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1874",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.110706253773605,6.40037942953745,49.7979924844752,8.53698630136986,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1875",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.105769723936736,6.93223567286121,59.549651551086,9.53698630136986,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1876",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.101764010436173,7.42951911243875,69.6932521929853,10.5397260273973,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1877",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.098496172652713,7.89094875106639,80.0713235436024,11.5397260273973,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1878",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0957715751157547,8.31999624577291,90.6235365803521,12.5397260273973,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1879",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0934694114225843,8.7186635256282,101.273085874029,13.5397260273973,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1880",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0914912910274865,9.08970537956148,111.978894468803,14.5424657534247,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1881",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0897949990680583,9.43313847738272,122.627591052235,15.5424657534247,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1882",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0883195069654829,9.75156346811852,133.192644194591,16.5424657534247,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1883",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0870269404996537,10.0465705726135,143.628037910172,17.5424657534247,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1884",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.085898166530645,10.3175379582387,153.873230577018,18.5452054794521,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1885",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.084871626703087,10.5727351409615,163.979573279407,19.5452054794521,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1886",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0839922227983137,10.8027559835954,173.74788613712,20.5452054794521,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1887",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0831707667442679,11.0213112037931,183.375871219029,21.5452054794521,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1888",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0824484480817486,11.2196980758531,192.676263048588,22.5479452054795,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1889",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0818067610845983,11.401237943343,201.644488327744,23.5479452054795,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1890",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0812338447594946,11.5668653170403,210.275470481279,24.5479452054795,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1891",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0806633220899765,11.7303131992241,218.834297008668,25.5479452054795,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1892",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0801912975813468,11.8700163345354,226.843163374415,26.5506849315069,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1893",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0797344024752851,12.0050332515062,234.674037425567,27.5506849315069,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1894",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0793227688201256,12.1278749081426,242.152072329427,28.5506849315069,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1895",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0790020541748311,12.2267769360915,248.969018106012,29.5506849315069,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1896",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.078652873265312,12.3304367970943,255.808812551907,30.5534246575342,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1897",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0783480782105172,12.4218504456626,262.230961309049,31.5534246575342,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1898",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0780691874607757,12.5050690289425,268.331811980623,32.5534246575342,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1899",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.077813994751865,12.5806337020385,274.115511026448,33.5534246575342,0
1865-08-19,"10-40's",1.43875051044732,"us_ten_forty_1900",0.032258064516129,68.0277777761271,65.7044082109097,2.32336956521739,0.0760983948588367,0.0775805923590689,12.6490368937084,279.586785220208,34.5534246575342,0
